Date,Funding,Account,Activity,Document,Description,Amount
01/08/2017,Grant (0),Entrance Fee Competition (680),General (00),-2603,Due to 2.2% members some Grant is withheld,-422.44
01/08/2017,Grant (0),Entrance Fee Competition (680),General (00),-2603,Original Budget 17-18,432.04
01/08/2017,Grant (0),Instructors (735),General (00),-2603,Original Budget 17-18,763.25
01/08/2017,Grant (0),Instructors (735),General (00),-2603,Due to 2.2% members some Grant is withheld,-746.29
01/08/2017,Grant (0),Travel Expenditure (895),General (00),-2603,Due to 2.2% members some Grant is withheld,-227.36
01/08/2017,Grant (0),Travel Expenditure (895),General (00),-2603,Original Budget 17-18,232.53
01/08/2017,SGI (1),Members Funds (225),General (00),-305909,Opening Balance 2017/18,"3,204.35"
21/08/2017,SGI (1),Subscriptions (570),General (00),ECOM  981 (306232),Online Sales 20170821,5.71
30/08/2017,SGI (1),Subscriptions (570),General (00),ECOM  1008 (306683),Online Sales 20170830,5.71
01/08/2017,SGI (1),Members Funds (225),Edinburgh Competition Feb '16 (21),-305909,Opening Balance 2017/18,-724.29
01/08/2017,SGI (1),Members Funds (225),Edinburgh Competition 2017 (22),-305909,Opening Balance 2017/18,-508.39
01/08/2017,Harlington (2),Members Funds (225),General (00),-305910,Opening Balance 2017/18,631.36
01/08/2017,ICTrust (3),Members Funds (225),General (00),-305911,Opening Balance 2017/18,"1,160.00"
01/08/2017,ICTrust (3),Members Funds (225),Edinburgh Competition Feb '16 (21),-305911,Opening Balance 2017/18,-798.8
01/08/2017,ICTrust (3),Members Funds (225),Edinburgh Competition 2017 (22),-305911,Opening Balance 2017/18,-360.1
