"Date","Funding","Account","Activity","Document","Description","Amount"
"01/08/2012","Grant (0)","Cultural Activities (650)","General (00)","(2475)","Original Budget 12-13","30.00"
"05/07/2013","Grant (0)","Cultural Activities (650)","General (00)","IC  1404 (165711)","Grant Redistribution","-30.00"
"01/08/2012","Grant (0)","Instructors (735)","General (00)","(2475)","Original Budget 12-13","528.00"
"20/11/2012","Grant (0)","Instructors (735)","General (00)","CF  6253 (153049)","Breakdancing class instructor fees for 4 classes","-140.00"
"20/11/2012","Grant (0)","Instructors (735)","General (00)","CF  6772 (153050)","Breakdancing class instructor fees for 3 classes","-120.00"
"20/03/2013","Grant (0)","Instructors (735)","General (00)","CF  9003 (160108)","Payment of the regular hiphop teacher, for 16 clas","-268.00"
"01/08/2012","SGI (1)","Members Funds (225)","General (00)","(145239)","Opening Balance 2012/13","4,177.20"
"28/09/2012","SGI (1)","Members Funds (225)","General (00)","AB/JP (147059)","Xfer from MemFunds - IC Trust: Adjust Trust Funds","200.00"
"28/05/2013","SGI (1)","Goods & Services (450)","General (00)","IF  1381  118782 (163137)","Payment by the performing crew to subsidise their","391.66"
"28/05/2013","SGI (1)","Goods & Services (450)","General (00)","IF  1381  118782 (163137)","Money taken from members to attend our classes","438.70"
"28/05/2013","SGI (1)","Sales General (520)","General (00)","IF  1381  118782 (163137)","Income from sales of society T-Shirts","29.17"
"03/09/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14882 (145954)","Online Sales 20120903","4.76"
"01/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14910 (147124)","Online Sales 20121001","9.52"
"02/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14911 (147127)","Online Sales 20121002","23.81"
"03/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14912 (151493)","Online Sales 20121003","4.76"
"04/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14913 (147131)","Online Sales 20121004","4.76"
"05/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14914 (147129)","Online Sales 20121005","9.52"
"07/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14916 (147159)","Online Sales 20121007","14.29"
"08/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14917 (147160)","Online Sales 20121008","38.10"
"09/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14918 (147418)","Online Sales 20121009","9.52"
"10/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14920 (147419)","Online Sales 20121010","14.29"
"11/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14921 (147420)","Online Sales 20121011","4.76"
"13/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14923 (147422)","Online Sales 20121013","9.52"
"14/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14924 (147423)","Online Sales 20121014","19.05"
"15/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14925 (147424)","Online Sales 20121015","9.52"
"16/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14927 (147586)","Online Sales 20121016","4.76"
"17/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14928 (147587)","Online Sales 20121017","19.05"
"18/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14929 (147756)","Online Sales 20121018","4.76"
"19/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14930 (147757)","Online Sales 20121019","9.52"
"20/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14931 (148049)","Online Sales 20121020","4.76"
"21/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14932 (148050)","Online Sales 20121021","14.29"
"22/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14933 (148051)","Online Sales 20121022","4.76"
"28/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14939 (148334)","Online Sales 20121028","9.52"
"29/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14940 (148335)","Online Sales 20121029","14.29"
"31/10/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14942 (148337)","Online Sales 20121031","14.29"
"01/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14943 (148505)","Online Sales 20121101","9.52"
"02/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14944 (151809)","Online Sales 20121102","9.52"
"03/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14945 (151810)","Online Sales 20121103","14.29"
